Material Desc,Part Group,Samples,Positives,Conversion Rate,Accuracy,Precision,Recall,F1-Score,AUC-ROC,TP
SHOE KIT  (1 LEADING- 1 TRAILING),BRAKE PARTS,6,3,0.5,1.0,1.0,1.0,1.0,1.0,3
POWER STEERING OIL BOTTLE(500ml),OTHERS,7,3,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,3
W/C ASSY LH SANTRO,BRAKE PARTS,3,2,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,2
BRAKE FLUID 100ml DOT3 (Non Petroleum),BRAKE FLUID,15,9,0.6,1.0,1.0,1.0,1.0,1.0,9
2W ENGINE OIL BOTTLE 20W40 (4T) (900 ml),LUBES,31,1,0.03225806451612903,1.0,1.0,1.0,1.0,1.0,1
R134A GAS CAN,AC GAS,32,1,0.03125,1.0,1.0,1.0,1.0,1.0,1
BRAKE FLUID 1/4 LTR DOT3 (Non Petroleum),BRAKE FLUID,28,13,0.4642857142857143,1.0,1.0,1.0,1.0,1.0,13
BRAKE FLUID 1/4 Lt  DOT4 (Non Petroleum),BRAKE FLUID,18,4,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,4
W/C  ASSY(15.87)(K14/100),BRAKE PARTS,8,6,0.75,1.0,1.0,1.0,1.0,1.0,6
SHOE KIT(INCRIMENTAL ADJ.)15,BRAKE PARTS,4,2,0.5,1.0,1.0,1.0,1.0,1.0,2
MINOR KIT W/C FR(J56/250),BRAKE PARTS,7,6,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,6
SHOE KIT,BRAKE PARTS,6,4,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,4
SHOE KIT  RH(A.A.),BRAKE PARTS,5,3,0.6,1.0,1.0,1.0,1.0,1.0,3
POWER STEERING FLUID 1 Ltr,OTHERS,6,3,0.5,1.0,1.0,1.0,1.0,1.0,3
BRAKE FLUID 100 ml  DOT4 (Non Petroleum),BRAKE FLUID,3,2,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,2
GREEN COOLANT BOTTLE (1 LTR),LUBES,5,1,0.2,1.0,1.0,1.0,1.0,1.0,1
WC ASSLY PVPL RR(K17/40),BRAKE PARTS,4,4,1.0,1.0,1.0,1.0,1.0,0.5,4
SHOE KIT LH (A.A.),BRAKE PARTS,6,4,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,4
"W/C ASSLY RR, Ø 15.87MM",BRAKE PARTS,3,3,1.0,1.0,1.0,1.0,1.0,0.5,3
