Contact Name,Part Group,Material,Material Desc,Score,Reason,Recommendation Type,Rank
A M AUTO SALES,LUBES,ZF04N65832AST,GREEN COOLANT BOTTLE (1 LTR),0.9999999999999755,Personal Repeat Purchase,1,1
A M AUTO SALES,LUBES,ZF04N445957GM,Engine Oil 2W 20W40 4T,0.852,Cross-State Trending,1,2
A M AUTO SALES,BRAKE PARTS,ZF04N491707GM,SHOE KIT LH; IAM BAJAJ REGC,0.6380157170923222,Personal Repeat Purchase,1,3
A M AUTO SALES,BRAKE PARTS,ZF04N491717GM,SHOE KIT RH; IAM BAJAJ REGC,0.6178781925343659,Personal Repeat Purchase,1,4
A M AUTO SALES,AC GAS,ZF04N260123AC,R134A GAS CAN,0.61,Cross-State Trending,1,5
A M AUTO SALES,LUBES,ZF04N65848AST,2W ENGINE OIL BOTTLE 20W40 (4T) (900 ml),0.587,Cross-State Trending,1,6
A M AUTO SALES,LUBES,ZF04N65833AST,RED COOLANT BOTTLE (1 LTR),0.4557956777995959,Personal Repeat Purchase,1,7
A M AUTO SALES,BRAKE FLUID,ZF86AB70097GM,BRAKE FLUID 1/4 Lt  DOT4 (Non Petroleum),0.3988212180746464,Personal Repeat Purchase,1,8
A S ENTERPRISES,BRAKE FLUID,ZF86AB70007GM,BRAKE FLUID 100ml DOT3 (Non Petroleum),0.999999999999946,Personal Repeat Purchase,1,1
A S ENTERPRISES,BRAKE FLUID,ZF86AB70097GM,BRAKE FLUID 1/4 Lt  DOT4 (Non Petroleum),0.9374999999999495,Personal Repeat Purchase,1,2
A S ENTERPRISES,LUBES,ZF04N216677GM,EP - 90 Gear Fluid 26 ltr,0.929,Cross-State Trending,1,3
A S ENTERPRISES,BRAKE FLUID,ZF04L708617GM,BRAKE FLUID 100 ml  DOT4 (Non Petroleum),0.6874999999999629,Personal Repeat Purchase,1,4
A S ENTERPRISES,BRAKE FLUID,ZF86AB70057GM,BRAKE FLUID 1/4 LTR DOT3 (Non Petroleum),0.6249999999999664,Personal Repeat Purchase,1,5
A S ENTERPRISES,OTHERS,ZF04L952157GM,POWER STEERING OIL BOTTLE(500ml),0.6249999999999664,Personal Repeat Purchase,1,6
A S ENTERPRISES,AC GAS,ZF04N260123AC,R134A GAS CAN,0.61,Cross-State Trending,1,7
A S ENTERPRISES,LUBES,ZF04N65848AST,2W ENGINE OIL BOTTLE 20W40 (4T) (900 ml),0.587,Cross-State Trending,1,8
AGARWAL AUTO AGENCIES,BRAKE PARTS,ZF04L71188KIT,MINOR KIT TMC PIAGGIO,0.9999999999982142,Personal Repeat Purchase,1,1
AGARWAL AUTO AGENCIES,BRAKE PARTS,ZF86AB73617GM,SHOE KIT  RH(A.A.),0.9999999999982142,Personal Repeat Purchase,1,2
AGARWAL AUTO AGENCIES,BRAKE PARTS,ZF86AB77527GM,SHOE KIT,0.9999999999982142,Personal Repeat Purchase,1,3
AGARWAL AUTO AGENCIES,LUBES,ZF04N216677GM,EP - 90 Gear Fluid 26 ltr,0.929,Cross-State Trending,1,4
AGARWAL AUTO AGENCIES,AC GAS,ZF04N260123AC,R134A GAS CAN,0.61,Cross-State Trending,1,5
AGARWAL AUTO AGENCIES,LUBES,ZF04N65848AST,2W ENGINE OIL BOTTLE 20W40 (4T) (900 ml),0.587,Cross-State Trending,1,6
AGGARWAL AUTO AGENCIES,BRAKE PARTS,ZF86AB73627GM,SHOE KIT LH (A.A.),0.9999999999999891,Personal Repeat Purchase,1,1
AGGARWAL AUTO AGENCIES,BRAKE PARTS,ZF043189847GM,W/C ASSY. LH(19.05 mm),0.976635514018681,Personal Repeat Purchase,1,2
AGGARWAL AUTO AGENCIES,LUBES,ZF04N216677GM,EP - 90 Gear Fluid 26 ltr,0.929,Cross-State Trending,1,3
AGGARWAL AUTO AGENCIES,BRAKE PARTS,ZF86AB77527GM,SHOE KIT,0.9263203651380034,Personal Repeat Purchase,1,4
AGGARWAL AUTO AGENCIES,BRAKE PARTS,ZF86AB70567GM,SHOE KIT  (1 LEADING- 1 TRAILING),0.8228645946533273,Personal Repeat Purchase,1,5
AGGARWAL AUTO AGENCIES,BRAKE PARTS,ZF86AB73617GM,SHOE KIT  RH(A.A.),0.7212562486415918,Personal Repeat Purchase,1,6
AGGARWAL AUTO AGENCIES,AC GAS,ZF04N260123AC,R134A GAS CAN,0.61,Cross-State Trending,1,7
AGGARWAL AUTO AGENCIES,LUBES,ZF04N65848AST,2W ENGINE OIL BOTTLE 20W40 (4T) (900 ml),0.587,Cross-State Trending,1,8
ANKIT SALES,LUBES,ZF04N65848AST,2W ENGINE OIL BOTTLE 20W40 (4T) (900 ml),0.999999999999972,Personal Repeat Purchase,1,1
ANKIT SALES,LUBES,ZF04N216677GM,EP - 90 Gear Fluid 26 ltr,0.929,Cross-State Trending,1,2
ANKIT SALES,LUBES,ZF04N187507GM,EP - 90 Gear Fluid 500 ml,0.75,Cross-State Trending,1,3
ANKIT SALES,BRAKE PARTS,ZF86AB73627GM,SHOE KIT LH (A.A.),0.732551647124491,Personal Repeat Purchase,1,4
ANKIT SALES,BRAKE FLUID,ZF86AB70057GM,BRAKE FLUID 1/4 LTR DOT3 (Non Petroleum),0.6800670016750229,Personal Repeat Purchase,1,5
ANKIT SALES,AC GAS,ZF04N260123AC,R134A GAS CAN,0.61,Cross-State Trending,1,6
ANKIT SALES,BRAKE PARTS,ZF86AB73617GM,SHOE KIT  RH(A.A.),0.5650474595198055,Personal Repeat Purchase,1,7
ANKIT SALES,BRAKE PARTS,ZF04L82030KIT,MINOR KIT (Only Seals),0.45449469570071316,Personal Repeat Purchase,1,8
ARIHANT AGENCIES,LUBES,ZF04N65832AST,GREEN COOLANT BOTTLE (1 LTR),0.999999999999837,Personal Repeat Purchase,1,1
ARIHANT AGENCIES,LUBES,ZF04N65848AST,2W ENGINE OIL BOTTLE 20W40 (4T) (900 ml),0.9446254071659699,Personal Repeat Purchase,1,2
ARIHANT AGENCIES,LUBES,ZF04N65849AST,2W ENGINE OIL BOTTLE 20W40 (4T) (1 ltr),0.9446254071659699,Personal Repeat Purchase,1,3
ARIHANT AGENCIES,LUBES,ZF04N216677GM,EP - 90 Gear Fluid 26 ltr,0.929,Cross-State Trending,1,4
ARIHANT AGENCIES,LUBES,ZF04N187507GM,EP - 90 Gear Fluid 500 ml,0.75,Cross-State Trending,1,5
ARIHANT AGENCIES,LUBES,ZF04N65846AST,2W ENGINE OIL BOTTLE 10W30 (4T) (900 ml),0.6107491856676529,Personal Repeat Purchase,1,6
ARIHANT AGENCIES,AC GAS,ZF04N260123AC,R134A GAS CAN,0.61,Cross-State Trending,1,7
