Product_A,Product_B,CoCount,Support,Confidence_A_to_B,Confidence_B_to_A,Lift
SHOE HOLD DOWN SPRING(A.A),SHOE RETURN SPRING(A.A),75,0.004407875404055245,0.31645569620253167,0.3588516746411483,25.763127611895094
SHOE KIT LH; IAM BAJAJ REGC,SHOE KIT RH; IAM BAJAJ REGC,51,0.0029973552747575667,0.24401913875598086,0.27717391304347827,22.56513938007073
SHOE RETURN SPRING(A.A),SPRING SHOE RETURN UPPER(G46/400),30,0.001763150161622098,0.14354066985645933,0.23809523809523808,19.383686488949646
SHOE HOLD DOWN SPRING(A.A),SPRING SHOE RETURN UPPER(G46/400),34,0.001998236849838378,0.14345991561181434,0.2698412698412698,19.372781461389057
SHOE KIT  RH(A.A.),SHOE KIT LH (A.A.),491,0.02885689097854834,0.6653116531165312,0.6680272108843538,15.401738473167043
POWER STEERING FLUID 1 Ltr,POWER STEERING OIL BOTTLE(500ml),165,0.00969732588892154,0.39759036144578314,0.3548387096774194,14.548387096774194
SHOE KIT  RH(A.A.),SHOE KIT FRONT (A.A.),356,0.020922715251248898,0.4823848238482385,0.5874587458745875,13.544187752108543
SHOE KIT FRONT (A.A.),SHOE KIT LH (A.A.),337,0.01980605348222157,0.5561056105610561,0.45850340136054424,12.873655732920229
BRAKE FLUID 1/2 Lt DOT3 (Non Petroleum),BRAKE FLUID 1/2 Lt DOT4 (Non Petroleum),49,0.002879811930649427,0.15605095541401273,0.23557692307692307,12.765418299853012
MINOR KIT W/C FR(J54/250),MINOR KIT W/C FR(J56/250),168,0.009873640905083749,0.45901639344262296,0.24489795918367346,11.385078621612578
W/C ASSY. LH(19.05 mm),W/C ASSY. RH(19.05 mm),40,0.0023508668821627977,0.1593625498007968,0.1556420233463035,10.550792937200615
W /C ASSY RH SANTRO,W/C ASSY LH SANTRO,182,0.010696444313840729,0.3333333333333333,0.3159722222222222,9.846643518518517
EP - 90 Gear Fluid 1   ltr,POWER STEERING FLUID 1 Ltr,63,0.003702615339406406,0.2342007434944238,0.15180722891566265,9.602230483271375
BRAKE FLUID 1/2 Lt DOT4 (Non Petroleum),BRAKE FLUID 100 ml  DOT4 (Non Petroleum),42,0.002468410226270937,0.20192307692307693,0.11602209944751381,9.490942413939651
MINOR KIT (Only Seals),MINOR KIT W/C FR.(J46/250),36,0.002115780193946518,0.11145510835913312,0.18,9.482043343653253
MINOR KIT (Only Seals),MINOR KIT TMC,86,0.005054363796650014,0.26625386996904027,0.17586912065439672,9.26443680475096
PAD FRICTION KING,"PAD KIT,  Frt",114,0.006699970614163973,0.2275449101796407,0.2727272727272727,9.26238432226456
MINOR KIT TMC PIAGGIO,MINOR KIT W/C FR.(J46/250),40,0.0023508668821627977,0.10752688172043011,0.2,9.147849462365592
"SERVICE KIT; SHOE KIT, ALTO CD,170",Service kit; Shoes New Swift,156,0.009168380840434911,0.2948960302457467,0.2826086956521739,9.089956439549603
MINOR KIT (Only Seals),MINOR KIT TMC PIAGGIO,64,0.003761387011460476,0.19814241486068113,0.17204301075268819,9.06288491627551
W/C ASSY. LH.omni (k26/40),W/C ASSY. RH(K23/40),160,0.009403467528651191,0.30592734225621415,0.2782608695652174,9.052789093025188
MINOR KIT TMC,MINOR KIT TMC PIAGGIO,95,0.005583308845136644,0.19427402862985685,0.2553763440860215,8.885947841766168
BONDED BRAKE SHOE KIT (KBX type),"SERVICE KIT; SHOE KIT, ALTO CD,170",117,0.006876285630326183,0.26773455377574373,0.22117202268431002,8.611537679573308
MINOR KIT W/C FR(J54/250),MINOR KIT W/C FR.(J46/250),37,0.002174551866000588,0.10109289617486339,0.185,8.600478142076504
"SERVICE KIT; SHOE KIT, ALTO CD,170","SHOE KIT WITH HBL, OMNI UPG.",115,0.006758742286218043,0.21739130434782608,0.2668213457076566,8.58216483405629
SHOE KIT  (1 LEADING- 1 TRAILING),SHOE KIT LH (A.A.),269,0.015809579782544814,0.36253369272237196,0.3659863945578231,8.392531675743074
SHOE KIT  (1 LEADING- 1 TRAILING),SHOE KIT  RH(A.A.),268,0.015750808110490743,0.3611859838274933,0.36314363143631434,8.327343516022761
BONDED BRAKE SHOE KIT (KBX type),"W/C ASSLY RR, Ø 15.87MM",113,0.006641198942109903,0.2585812356979405,0.20508166969147004,7.985044873685042
"W/C ASSLY RR, Ø 15.87MM",W/C ASSY. RR.(17.46 mm) YE2,84,0.004936820452541874,0.15245009074410162,0.25846153846153846,7.981348596956582
MINOR KIT W/C FR(J56/250),MINOR KIT W/C FR.(J46/250),64,0.003761387011460476,0.09329446064139942,0.32,7.937026239067055
MINOR KIT (Only Seals),MINOR KIT W/C FR(J54/250),54,0.0031736702909197765,0.16718266253869968,0.14754098360655737,7.772166675125615
SHOE KIT  (1 LEADING- 1 TRAILING),SHOE KIT FRONT (A.A.),205,0.012048192771084338,0.27628032345013476,0.33828382838283827,7.757276738455517
MINOR KIT TMC PIAGGIO,MINOR KIT W/C FR(J56/250),116,0.006817513958272113,0.3118279569892473,0.16909620991253643,7.7343333646822785
"PAD KIT,  Frt","SHOE KIT WITH HBL, OMNI UPG.",81,0.004760505436379665,0.1937799043062201,0.18793503480278423,7.650034969304721
PAD FRICTION KING,"SHOE KIT WITH HBL, OMNI UPG.",97,0.005700852189244784,0.1936127744510978,0.22505800464037123,7.643437023864105
MINOR KIT TMC,MINOR KIT W/C FR(J54/250),80,0.0047017337643255955,0.16359918200409,0.2185792349726776,7.605573993987954
MINOR KIT (Only Seals),MINOR KIT W/C FR(J56/250),99,0.005818395533352924,0.3065015479876161,0.14431486880466474,7.602221339663686
SHOE KIT FRONT (A.A.),Shoes Assy W/O Spring,41,0.0024096385542168677,0.06765676567656766,0.2679738562091503,7.524051424750318
MINOR KIT TMC PIAGGIO,MINOR KIT W/C FR(J54/250),60,0.003526300323244196,0.16129032258064516,0.16393442622950818,7.498237264234091
EP - 90 Gear Fluid 1   ltr,POWER STEERING OIL BOTTLE(500ml),54,0.0031736702909197765,0.20074349442379183,0.11612903225806452,7.3454850701522965
"W/C ASSLY RR, Ø 15.87MM",W/C ASSY. LH.omni (k26/40),124,0.007287687334704672,0.2250453720508167,0.23709369024856597,7.321504790525136
"SHOE KIT WITH HBL, OMNI UPG.",W/C ASSY. LH.omni (k26/40),96,0.005642080517190714,0.22273781902552203,0.1835564053537285,7.246432104625731
MINOR KIT TMC,MINOR KIT W/C(J29/250),38,0.002233323538054658,0.07770961145194274,0.20765027322404372,7.225295294288556
BRAKE FLUID 1/2 Lt DOT3 (Non Petroleum),BRAKE FLUID 100 ml  DOT4 (Non Petroleum),48,0.002821040258595357,0.15286624203821655,0.13259668508287292,7.185135658232747
