Contact Name,Part Group,Material,Material Desc,Score,Reason,Detail,Rank
A M AUTO SALES,LUBES,ZF04N438657GM,2W ENGINE OIL BOTTLE 10W30 (4T) (1LTR),0.923,Cross-State Trending,Majority-share in Rajasthan,1
A M AUTO SALES,LUBES,ZF04N438637GM,ENGINE OIL BOTTLE 20W40 (4T),0.878,Cross-State Trending,Majority-share in Rajasthan,2
A M AUTO SALES,LUBES,ZF04N445957GM,Engine Oil 2W 20W40 4T,0.852,Cross-State Trending,Majority-share in Rajasthan,3
A M AUTO SALES,OTHERS,ZF04L927687GM,SHOCK ABS OIL 350ml,0.657,Cross-State Trending,Majority-share in Kerala,4
A M AUTO SALES,AC GAS,ZF04N260123AC,R134A GAS CAN,0.602,Cross-State Trending,Majority-share in Haryana,5
A M AUTO SALES,BRAKE PARTS,ZF047126167GM,CALIPER ASSEMBLY RH (H43/2),0.585,Cross-State Trending,Majority-share in Punjab,6
A M AUTO SALES,BRAKE PARTS,ZF047126127GM,CALIPER ASSEMBLY LH (R)(H42/2),0.57,Cross-State Trending,Majority-share in Punjab,7
A M AUTO SALES,LUBES,ZF04N65848AST,2W ENGINE OIL BOTTLE 20W40 (4T) (900 ml),0.54,Cross-State Trending,Majority-share in Rajasthan,8
A M AUTO SALES,BRAKE PARTS,ZF86AB71457GM,PAD WINGER NEW (NEW)(I31/8),0.515,Cross-State Trending,Majority-share in Assam,9
A M AUTO SALES,EMS,ZF04N261775IC,IGNITION COIL,0.51,Cross-State Trending,Majority-share in Maharashtra,10
A M AUTO SALES,LUBES,ZF04N65832AST,GREEN COOLANT BOTTLE (1 LTR),1.0,Personal Repeat Purchase,Top 5 by recency-weighted quantity,11
A M AUTO SALES,BRAKE PARTS,ZF04N491707GM,SHOE KIT LH; IAM BAJAJ REGC,0.5448825503355704,Personal Repeat Purchase,Top 5 by recency-weighted quantity,12
A M AUTO SALES,LUBES,ZF04N66571AST,GEAR OIL BOTTLE (80W90) (1 ltr),0.535234899328859,Personal Repeat Purchase,Top 5 by recency-weighted quantity,13
