Rank,State,Part Group,Material Code,Material Description,Total Quantity in State,Total Sales Value in State,State Market Share (%)
1,Haryana,AC GAS,ZF04N260123AC,R134A GAS CAN,812.0,48427613.0,60.19
2,Rajasthan,LUBES,ZF04N216677GM,EP - 90 Gear Fluid 26 ltr,1096.0,5842845.9,93.78
3,Punjab,BRAKE PARTS,ZF047126167GM,CALIPER ASSEMBLY RH (H43/2),1126.0,3448035.16,58.54
4,Gujarat,BRAKE PARTS,ZF04L688207GM,"PAD KIT,  Frt",3698.0,3344123.84,54.88
5,Punjab,BRAKE PARTS,ZF047126127GM,CALIPER ASSEMBLY LH (R)(H42/2),1023.0,3115831.37,57.01
6,Rajasthan,LUBES,ZF04N65848AST,2W ENGINE OIL BOTTLE 20W40 (4T) (900 ml),2575.0,2152019.1,53.95
7,Punjab,LUBES,ZF04N187507GM,EP - 90 Gear Fluid 500 ml,786.0,1952354.25,74.9
8,Rajasthan,LUBES,ZF04N445957GM,Engine Oil 2W 20W40 4T,3221.0,1647230.28,85.23
9,Maharashtra,EMS,ZF04N261775IC,IGNITION COIL,1524.0,1571663.95,50.95
10,Rajasthan,LUBES,ZF04N438637GM,ENGINE OIL BOTTLE 20W40 (4T),1456.0,1212059.42,87.83
11,Assam,BRAKE PARTS,ZF04L707227GM,Shoe Kit M_HAWK / Safari,879.0,1204861.15,60.49
12,Assam,BRAKE PARTS,ZF86AB71457GM,PAD WINGER NEW (NEW)(I31/8),975.0,911002.7,51.51
13,Kerala,OTHERS,ZF04L927687GM,SHOCK ABS OIL 350ml,2664.0,864357.67,65.67
14,Rajasthan,LUBES,ZF04N438657GM,2W ENGINE OIL BOTTLE 10W30 (4T) (1LTR),684.0,648698.22,92.26
15,Kerala,BRAKE PARTS,ZF047167857GM,WC S/A PENGUINE RR(K51/100),1866.0,619331.96,65.2
16,Telangana,BRAKE PARTS,ZF04N129287TG,ROTOR (MAX PASSENGER),745.0,514642.46,58.62
17,Maharashtra,SUSPENSION,ZF04N330985SK,SHOCK ABSORBER  FORTU_NER RR/ RL,258.0,449794.9,51.6
18,Jammu and Kashmir,LUBES,ZF047979327GM,RADIATOR COOLANT 1 LTR. (Antifreeze),232.0,438529.30000000005,79.4
19,Chhattisgarh,OTHERS,ZF04N139417GM,Power Steering Fluid 5L,497.0,429949.52,54.46
20,Assam,BRAKE PARTS,ZF86AB76027GM,SHOE KIT,710.0,413454.48,61.24
21,Kerala,BRAKE PARTS,ZF86AB75037GM,REPAIR KIT ADJ.RH(J74/250),3000.0,395376.33,60.1
22,Kerala,BRAKE PARTS,ZF86AB75047GM,REPAIR KIT ADJ. LH(J75/250),2892.0,348328.58999999997,56.45
23,Maharashtra,BRAKE PARTS,ZF047144987GM,HOSE ASSY FRONT BRAKE (437mm),251.0,304814.77,93.46
24,Karnataka,BRAKE PARTS,ZF86AB75657GM,PAD KIT (I55/20),499.0,290758.22,69.1
25,Gujarat,BRAKE PARTS,ZF04L906347TW,SHOE KIT 2W,116.0,282677.85,72.79
26,Rajasthan,LUBES,ZF04N66581AST,GEAR OIL BOTTLE (85W140) (5 ltr),156.0,272735.76,62.34
27,Gujarat,LUBES,ZF04N56543KIT,4W ENGINE OIL 5W40 SN (3.5 LTR),116.0,268686.0,74.07
28,Chandigarh,SUSPENSION,ZF04N222875SK,SHOCK ABSORBER INN_OVA CRYSTA FRT RH,50.0,249275.0,86.21
29,Chandigarh,SUSPENSION,ZF04N222885SK,SHOCK ABSORBER INN_OVA CRYSTA FRT LH,50.0,249275.0,86.21
30,Madhya Pradesh,LUBES,ZF04N58723KIT,GEAR OIL 75W90 GL 4 (1 LTR),232.0,239481.0,73.74
31,Rajasthan,LUBES,ZF04N66497AST,GREEN COOLANT BOTTLE (3 ltr),700.0,232183.64,53.37
32,Rajasthan,LUBES,ZF04N445967GM,2W ENGINE OIL BOTTLE 10W30 (4T) (900 ml),921.0,229616.2,97.52
33,Tamil Nadu,BRAKE PARTS,ZF047163517GM,SHOE RETURN SPRING UPPER,2839.0,208370.89,89.86
34,Delhi,BRAKE PARTS,ZF047138657GM,BACKPLATE ASSLY FRT,166.0,205502.77000000002,54.62
35,Delhi,BRAKE PARTS,ZF047068707GM,BRAKE RR LH ALFA(F4/4),149.0,204513.53999999998,62.89
36,Delhi,BRAKE PARTS,ZF047068717GM,BRAKE RR RH ALFA(H38/4),146.0,200410.31999999998,69.21
37,Uttar Pradesh,LUBES,ZF04N508057GM,4W ENGINE OIL BOTTLE 5W30 (2.5 LTR),296.0,197231.1,68.18
38,Telangana,BRAKE PARTS,ZF04N307067TG,ROTOR,210.0,194695.28,86.63
39,Rajasthan,LUBES,ZF04N58724KIT,GEAR OIL 75W90 GL 4 (2.5 LTR),258.0,192052.08000000002,66.02
40,Tamil Nadu,BRAKE PARTS,ZF86AB78237GM,PAD KIT MINOR HM (I68/20),230.0,146527.71,52.83
41,Chhattisgarh,LUBES,ZF04N503597GM,RADIATOR COOLANT GREEN 3 LTR,500.0,139900.8,64.37
42,Delhi,EMS,ZF04N261945IC,IGNITION COIL,215.0,122639.47,99.54
43,Jammu and Kashmir,LUBES,ZF047979357GM,RADIATOR COOLANT 3 LTR. (Antifreeze),116.0,121492.8,100.0
44,Chhattisgarh,OTHERS,ZF04N187557GM,Power Steering Fluid 3L,234.0,113899.5,63.93
45,Kerala,BRAKE PARTS,ZF047155427GM,BLEEDER SCREW,3012.0,112633.98,80.22
46,Assam,BRAKE PARTS,ZF04N643337TG,Rotor (Xe_non 4x4),72.0,111442.02,90.0
47,Gujarat,LUBES,ZF04N56541KIT,4W ENGINE OIL 5W40 SN (1 LTR),146.0,110725.89,100.0
48,Maharashtra,EMS,ZF04N261825IC,IGNITION COIL,78.0,110139.7,70.27
49,Jammu and Kashmir,LUBES,ZF047979347GM,RADIATOR COOLANT 20 LTR. (Antifreeze),50.0,102801.6,100.0
50,Delhi,BRAKE PARTS,ZF04N460487GM,SHOE KIT WITH SPRING HARRIER,60.0,101566.13999999998,53.44
51,Rajasthan,LUBES,ZF04N66964AST,GREEN COOLANT BARREL (210 ltr),9.0,98479.25,68.89
52,Gujarat,EMS,ZF04N322445FP,Fuel Pump Module Ecco,45.0,98229.68000000001,64.29
53,Maharashtra,LUBES,ZF047494947GM,RADIATOR COOLANT 500ML,348.0,95491.5,77.96
54,Bihar,BRAKE PARTS,ZF86AB77167GM,MINOR KIT W/C(J99/100),650.0,94143.12,55.18
55,Delhi,BRAKE PARTS,ZF04L93970KIT,TMC ASSY Vikram,111.0,93650.7,100.0
56,Chhattisgarh,LUBES,ZF04N503627GM,RADIATOR COOLANT GREEN 5 LTR,240.0,89208.0,67.13
57,Tamil Nadu,BRAKE PARTS,ZF047143457GM,SPRING SHOE RETURN ANCHOR PT(G58/400),2250.0,88243.37,67.04
58,Rajasthan,BRAKE PARTS,ZF04L906307TW,SHOE KIT 2W,776.0,87622.09,56.67
59,Tamil Nadu,BRAKE PARTS,ZF047163537GM,STRUT SPRING LH,1868.0,87445.67,88.11
60,Maharashtra,SUSPENSION,ZF04N330995SK,SHOCK ABSORBER INNO_VA RR/RL,46.0,79878.44,52.75
61,Telangana,BRAKE PARTS,ZF04N543737TG,Rotor Dost+,80.0,75957.53,50.76
62,Telangana,BRAKE PARTS,ZF047156257GM,STRUTASSY. LH,305.0,74015.53,57.19
63,Tamil Nadu,EMS,ZF04N261815IC,IGNITION COIL,49.0,68588.98,65.33
64,West Bengal,BRAKE PARTS,ZF86AB77507GM,LINING KIT RAUS SPARE STD.(I64/10),67.0,67100.23,56.8
65,Chhattisgarh,LUBES,ZF047494887GM,RADIATOR COOLANT 20 LTR.,44.0,66421.26,80.0
66,Madhya Pradesh,BRAKE PARTS,ZF04N599537TC,Brake Pad_Tru Blue CERAMIC,51.0,64336.729999999996,58.96
67,Maharashtra,EMS,ZF04N263335FP,IN-TANK FUEL PUMP,58.0,62058.06,62.37
68,Gujarat,BRAKE PARTS,ZF047145017GM,HOSE ASSY FRONT (556mm),300.0,61893.83,55.4
69,Tamil Nadu,BRAKE PARTS,ZF047163557GM,STRUT SPRING RH,1229.0,56847.74,95.32
70,Assam,OTHERS,ZF04N336404RL,12V Musical Flasher,232.0,55484.54,100.0
71,Maharashtra,EMS,ZF04N261805IC,IGNITION COIL,38.0,51209.53,77.55
72,Tamil Nadu,BRAKE PARTS,ZF86AB78327GM,MINOR KIT W/C RR. (20.64 mm),356.0,46228.63,64.9
73,Karnataka,BRAKE PARTS,ZF86AB72877GM,SHOE KIT(I35/2),36.0,46129.65,62.46
74,Madhya Pradesh,BRAKE PARTS,ZF04N604617TB,Brake Pad_Tru Blue,27.0,42699.65,63.97
75,Maharashtra,BRAKE PARTS,ZF86AB74157GM,SHOE KIT(I42/20),187.0,42503.14,53.71
76,Delhi,BRAKE PARTS,ZF047116677GM,AUTO ADJ ASSLY REAR LH,170.0,41916.55,60.55
77,Gujarat,BRAKE PARTS,ZF04L90341KIT,PUSH ROD COMP ASSY,964.0,40781.39,53.81
78,Delhi,BRAKE PARTS,ZF047116667GM,AUTO ADJ ASSLY REAR RH,165.0,40727.7,57.81
79,Kerala,LUBES,ZF04N223277GM,GEAR OIL 80W90 (3 LTR),78.0,38320.86,51.32
80,Gujarat,OTHERS,ZF04N21352AFL,AIR FILTER-IAM SUPER SPLENDOR HERO,464.0,34692.0,98.04
81,Tamil Nadu,EMS,ZF04N261855IC,IGNITION COIL,26.0,34539.54,76.47
82,Delhi,EMS,ZF04N263435FP,IN-TANK FUEL PUMP,10.0,34238.89,100.0
83,Maharashtra,BRAKE PARTS,ZF86AB71477GM,"SLIDING PIN KIT, TWIN POT(NEW)(J33/250)",120.0,34181.780000000006,90.74
84,Orissa,BRAKE PARTS,ZF047156307GM,AUTO ADJ ASSLY FR ALFA,153.0,34027.19,83.7
85,Maharashtra,BRAKE PARTS,ZF86AB78717GM,MINOR KIT W/C,390.0,32835.28,87.62
86,Maharashtra,BRAKE PARTS,ZF043182587GM,STRUT ASSY RH,100.0,32264.74,67.62
87,Chhattisgarh,LUBES,ZF04N66507AST,RED COOLANT BOTTLE (5 ltr),104.0,31858.11,89.66
88,Karnataka,BRAKE PARTS,ZF86AB74197GM,KIT SLIDING PIN(J63/100),156.0,29560.18,61.06
89,Tamil Nadu,BRAKE PARTS,ZF047484117GM,SHOE HOLD DOWN KIT(J6/250),436.0,29483.480000000003,72.91
90,Maharashtra,EMS,ZF04N606525IC,IGNITION COIL,24.0,29452.8,88.89
91,Assam,BRAKE PARTS,ZF047156237GM,STRUT ASSY.RH,120.0,29360.76,78.17
92,Maharashtra,EMS,ZF04N261975IC,IGNITION COIL,12.0,28311.52,54.55
93,Tamil Nadu,EMS,ZF04N261915IC,IGNITION COIL,21.0,27897.32,72.41
94,Maharashtra,BRAKE PARTS,ZF86AB74447GM,"MAJOR KIT CALIPER, TWIN POT(OLD)(J67/25)",30.0,27749.35,100.0
95,Orissa,BRAKE PARTS,ZF04N601147TB,Brake Pad_Tru Blue,20.0,27335.88,64.52
96,Maharashtra,EMS,ZF04N262035IC,IGNITION COIL,20.0,26967.72,100.0
97,Tamil Nadu,BRAKE PARTS,ZF86AB77427GM,MINOR KIT CALIPER TWIN POT(J105/25),53.0,26951.63,56.81
98,Delhi,BRAKE PARTS,ZF04N651897TG,ROTOR_SAFARI STROME 4x4,12.0,26912.5,100.0
99,Tamil Nadu,BRAKE PARTS,ZF86AB72807GM,MINOR KIT CALIPER(j41/100),126.0,26714.61,58.29
100,Assam,BRAKE PARTS,ZF86AB74487GM,AUTO ADJUSTER WITH THERMAL CLIP RH,26.0,26323.44,72.02
