Priority Rank,Material Desc,Material,Material Desc,Total Revenue,Number of Customers,Number of Orders,Total_Quantity,Revenue Score,Customer Reach Score,Order Frequency Score,Overall Priority Score
1,0,ZF86AB70057GM,BRAKE FLUID 1/4 LTR DOT3 (Non Petroleum),180074198.31,118,1918,217162.0,1.0,1.0,1.0,1.0
2,1,ZF86AB70007GM,BRAKE FLUID 100ml DOT3 (Non Petroleum),95114100.08,107,1292,148404.0,0.5282,0.906,0.6734,0.6706
3,2,ZF86AB77527GM,SHOE KIT,36749075.76,103,1008,81317.0,0.2041,0.8718,0.5253,0.4687
4,3,ZF86AB70097GM,BRAKE FLUID 1/4 Lt  DOT4 (Non Petroleum),35020351.52,102,903,98377.0,0.1945,0.8632,0.4705,0.4503
5,4,ZF86AB70567GM,SHOE KIT  (1 LEADING- 1 TRAILING),39433565.34,91,854,68874.0,0.219,0.7692,0.445,0.4293
6,5,ZF043186027GM,WC ASSLY PVPL RR(K17/40),28701241.59,99,872,57151.0,0.1594,0.8376,0.4544,0.4219
7,6,ZF04L69678KIT,"TMC ASSLY WITH RESERVOIR, PVPL APE501",43564666.4,73,904,27831.0,0.242,0.6154,0.471,0.3998
8,7,ZF86AB75887GM,SHOE KIT(INCRIMENTAL ADJ.)15,28921635.47,87,880,38595.0,0.1607,0.735,0.4585,0.3926
9,8,ZF86AB73617GM,SHOE KIT  RH(A.A.),33211096.65,81,830,68622.0,0.1845,0.6838,0.4324,0.3839
10,9,ZF86AB73627GM,SHOE KIT LH (A.A.),32634465.79,80,819,67823.0,0.1813,0.6752,0.4267,0.3785
11,10,ZF043185987GM,W/C  ASSY(15.87)(K14/100),19193202.44,87,873,57127.0,0.1066,0.735,0.4549,0.3648
12,11,ZF86AB73837GM,MINOR KIT W/C FR(J56/250),24170229.88,82,737,80999.0,0.1343,0.6923,0.3839,0.3516
13,12,ZF86AB73287GM,KBX  PAD KIT,9192090.49,88,734,27582.0,0.0511,0.7436,0.3824,0.3251
14,13,ZF86AB73637GM,SHOE KIT FRONT (A.A.),20456615.65,78,671,52392.0,0.1137,0.6581,0.3495,0.3242
15,14,ZF04L665887GM,SHOE KIT,14899122.11,82,625,12849.0,0.0828,0.6923,0.3255,0.3142
16,15,ZF043189947GM,W/C ASSY LH SANTRO,9474163.37,88,618,26444.0,0.0527,0.7436,0.3219,0.3138
17,16,ZF047742387GM,Service kit; Shoes New Swift,12966222.57,84,595,13765.0,0.0721,0.7094,0.3099,0.3108
18,17,ZF043189317GM,W /C ASSY RH SANTRO,9283300.13,88,590,25869.0,0.0516,0.7436,0.3073,0.3103
19,18,ZF86AB73407GM,KBX  PAD KIT,8738080.86,85,647,20608.0,0.0486,0.7179,0.337,0.3071
20,19,ZF04L952157GM,POWER STEERING OIL BOTTLE(500ml),10014483.72,87,494,44921.0,0.0557,0.735,0.2572,0.2998
21,20,ZF04L952167GM,POWER STEERING FLUID 1 Ltr,13783018.6,84,466,35932.0,0.0766,0.7094,0.2426,0.2996
22,21,ZF047700977GM,"SERVICE KIT; SHOE KIT, ALTO CD,170",9602381.18,83,560,14825.0,0.0534,0.7009,0.2916,0.2953
23,22,ZF043189017GM,W/C ASSY. RH(K23/40),6937689.79,83,603,23905.0,0.0386,0.7009,0.314,0.2924
24,23,ZF86AB74827GM,PAD FRICTION KING,9327594.1,83,520,17506.0,0.0519,0.7009,0.2707,0.2903
25,24,ZF047138407GM,"W/C ASSLY RR, Ø 15.87MM",6929543.72,80,578,28843.0,0.0385,0.6752,0.301,0.282
26,25,ZF86AB75257GM,PAD KIT,4768805.68,83,554,21055.0,0.0266,0.7009,0.2885,0.2812
27,26,ZF04L699607GM,W/C ASSY. XYLO (Equlnt)(K62/25),12209946.71,78,464,20426.0,0.0679,0.6581,0.2415,0.2797
28,27,ZF04L688687GM,Pad Kit-Ertiga,6172330.45,82,515,8491.0,0.0343,0.6923,0.2681,0.2785
29,28,ZF04L808607GM,Shoe Kit,5827259.73,82,483,10230.0,0.0324,0.6923,0.2514,0.2742
30,29,ZF043189417GM,W/C ASSY. LH.omni (k26/40),6768492.36,78,551,23183.0,0.0377,0.6581,0.2869,0.2736
31,30,ZF86AB75057GM,BONDED BRAKE SHOE KIT (KBX type),4298538.58,84,466,11416.0,0.0239,0.7094,0.2426,0.2733
32,31,ZF047168007GM,W/C ALTO (K53/100),6950989.3100000005,80,492,23671.0,0.0387,0.6752,0.2561,0.2731
33,32,ZF04N260123AC,R134A GAS CAN,80451591.82000001,18,44,4908.0,0.4468,0.1453,0.0224,0.2715
34,33,ZF04L92349KIT,TMC Assy Compact,15555256.59,71,454,18459.0,0.0864,0.5983,0.2363,0.27
35,34,ZF86AB75897GM,SHOE KIT(12),15038098.25,66,543,18767.0,0.0836,0.5556,0.2827,0.265
36,35,ZF04L708617GM,BRAKE FLUID 100 ml  DOT4 (Non Petroleum),5932332.0,81,394,44932.0,0.033,0.6838,0.205,0.2626
37,36,ZF043189957GM,W/C Model K cr3 (19.05)(K31/100),5335847.55,79,444,16256.0,0.0297,0.6667,0.2311,0.2611
38,37,ZF86AB75927GM,SHOE KIT(12),6296710.82,76,480,9951.0,0.035,0.641,0.2499,0.2598
39,38,ZF86AB75817GM,SHOE KIT(15),7875661.35,74,457,13135.0,0.0438,0.6239,0.2379,0.2567
40,39,ZF04L71188KIT,MINOR KIT TMC PIAGGIO,15458883.22,67,407,33548.0,0.0859,0.5641,0.2118,0.2545
41,40,ZF86AB76057GM,SHOE KIT,4184432.55,78,419,7620.0,0.0233,0.6581,0.218,0.2527
42,41,ZF04L688207GM,"PAD KIT,  Frt",6093600.44,74,428,10534.0,0.0339,0.6239,0.2227,0.2487
43,42,ZF04L808737GM,Shoe Kit,3411977.1,78,382,6051.0,0.019,0.6581,0.1987,0.2467
44,43,ZF86AB73367GM,KBX  PAD KIT,2033363.08,78,383,6979.0,0.0114,0.6581,0.1993,0.243
45,44,ZF04N222127GM,Shoe Kit,6948997.99,75,319,4292.0,0.0387,0.6325,0.1659,0.2422
46,45,ZF04N65832AST,GREEN COOLANT BOTTLE (1 LTR),10632164.15,68,369,38101.0,0.0591,0.5726,0.192,0.2397
47,46,ZF047139217GM,W/C ASSY. RR. RH.(17.46 mm),4328452.44,73,412,13540.0,0.0241,0.6154,0.2144,0.2395
48,47,ZF04L808687GM,Shoe Kit,2644236.3000000003,78,331,4603.0,0.0148,0.6581,0.1721,0.2392
49,48,ZF86AB75117GM,BRAKE SHOE KIT,3244228.17,73,401,8032.0,0.0181,0.6154,0.2087,0.2354
50,49,ZF047139187GM,W/C ASSY. RR. LH. CULTUS (17.46 mm),3879566.19,73,357,12666.0,0.0216,0.6154,0.1857,0.2326
51,50,ZF86AB75347GM,BRAKE SHOE KIT (KBX type),5443846.92,71,358,8502.0,0.0303,0.5983,0.1862,0.2319
52,51,ZF04L71194KIT,MINOR KIT TMC,6699489.07,67,411,33354.0,0.0373,0.5641,0.2139,0.2306
53,52,ZF04L69665KIT,"TMC ASSEMBLY,Ø19.05,IAM,MSIL OMNI VAVE",6849870.58,70,320,9264.0,0.0381,0.5897,0.1664,0.2293
54,53,ZF04L69663KIT,"TMC ASSLY MUL NMC, (K64/20)",4556696.7,71,351,7172.0,0.0254,0.5983,0.1826,0.2287
55,54,ZF86AB75527GM,SHOE KIT (EQUIVALENT.),1759341.08,75,325,5670.0,0.0098,0.6325,0.169,0.2285
56,55,ZF04N172897GM,PAD KIT,1859539.02,75,314,3686.0,0.0104,0.6325,0.1633,0.2276
57,56,ZF048086407GM,Wheel Cylinder Al FRT,3137819.08,70,374,8910.0,0.0175,0.5897,0.1946,0.2246
58,57,ZF86AB70047GM,BRAKE FLUID 1/2 Lt DOT3 (Non Petroleum),6917348.24,67,343,29634.0,0.0385,0.5641,0.1784,0.2242
59,58,ZF86AB73817GM,MINOR KIT W/C FR(J54/250),6353574.33,65,405,41334.0,0.0354,0.547,0.2107,0.2239
60,59,ZF047059867GM,W/C ASSLY YP8,2472438.39,75,260,5413.0,0.0138,0.6325,0.1351,0.2237
61,60,ZF04L768967GM,"SHOE KIT WITH HBL, OMNI UPG.",12565053.61,56,458,17723.0,0.0698,0.4701,0.2384,0.2236
62,61,ZF04L929857TG,Rotor (800CC),1794347.96,72,334,3982.0,0.01,0.6068,0.1737,0.2218
63,62,ZF04L929837TG,Rotor (Bolero),3641358.57,72,282,3992.0,0.0203,0.6068,0.1466,0.2215
64,63,ZF043185947GM,W/C ASSY. RR.(17.46 mm) YE2,2950114.73,70,341,12260.0,0.0165,0.5897,0.1774,0.2206
65,64,ZF04L762357GM,WHEEL CYLINDER ASSLY BEAT,3149904.85,71,305,4971.0,0.0176,0.5983,0.1586,0.22
66,65,ZF043185867GM,W/C ASSLY (25.4)(INC ADJ)(K8/25),3135514.49,70,322,7306.0,0.0175,0.5897,0.1674,0.2192
67,66,ZF04N129307TG,ROTOR (SWIFT),4680045.76,66,347,5064.0,0.0261,0.5556,0.1805,0.2158
68,67,ZF043185787GM,W/C ASSY. FRT. RH. R2 TWO TUBE SEAT(25.4,1602313.72,71,305,6820.0,0.009,0.5983,0.1586,0.2157
69,68,ZF04L82030KIT,MINOR KIT (Only Seals),8408958.53,62,345,30237.0,0.0468,0.5214,0.1794,0.2157
70,69,ZF04N172007GM,PAD KIT,1802593.71,71,280,3366.0,0.0101,0.5983,0.1455,0.2136
71,70,ZF043185747GM,W/C ASSY. RH.(20.64 mm),1796060.24,68,352,7814.0,0.01,0.5726,0.1831,0.2134
72,71,ZF04N214517GM,WheeL Cylinder Al DUSTER,2890716.64,71,247,4184.0,0.0161,0.5983,0.1283,0.2132
73,72,ZF04N187517GM,EP - 90 Gear Fluid 1   ltr,8245006.25,63,297,21957.0,0.0459,0.5299,0.1544,0.2128
74,73,ZF043185777GM,W/C ASSY. FRT. RH. R1 ONE TUBE SEAT(25.4,1862578.2,67,333,8127.0,0.0104,0.5641,0.1732,0.2091
75,74,ZF043185757GM,W/C ASSY FRT LH L1 ONE TUBE SEAT(25.4 mm,1625293.09,68,304,7077.0,0.0091,0.5726,0.1581,0.208
76,75,ZF86AB73427GM,KBX  PAD KIT,1126287.34,70,265,2957.0,0.0063,0.5897,0.1377,0.2076
77,76,ZF04N259607GM,Shoe Kit,1319203.78,70,257,1916.0,0.0074,0.5897,0.1335,0.2073
78,77,ZF04L893357GM,Pad kit; TML Indica vista/AL Dost,2213812.5,66,329,4577.0,0.0124,0.5556,0.1711,0.2071
79,78,ZF043185767GM,W/C ASSY. FRT. LH. L2 TWO TUBE SEAT(25.4,1466516.28,68,285,6551.0,0.0082,0.5726,0.1481,0.2055
80,79,ZF047149287GM,W/C ASSY  REAR LH & RH(K45/100),1713397.79,67,293,5336.0,0.0096,0.5641,0.1523,0.2045
81,80,ZF04L695807GM,SHOE KIT,1765264.61,70,214,1567.0,0.0099,0.5897,0.1111,0.2041
82,81,ZF04L893287GM,PAD KIT,1544710.44,68,262,2485.0,0.0086,0.5726,0.1362,0.2033
83,82,ZF04L757907GM,WHEEL CYLINDER ASSLY  SPARK,1782166.96,67,251,4037.0,0.01,0.5641,0.1304,0.2003
